S. No,"Country",Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/1M pop,Population,Nationality Factor = Tot case/Popu
77,Djibouti,"4,449",41,"2,823","1,585","4,507","9,87,227",0.0045
78,Guinea,"4,426",24,"3,106","1,296",338,"1,31,11,180",0.0003
79,Hungary,"4,064",559,"2,476","1,029",421,"96,61,455",0.0004
80,Luxembourg,"4,063",110,"3,922",31,"6,496","6,25,420",0.0065
81,Haiti,"3,941",64,24,"3,853",346,"1,13,95,219",0.0003
82,North Macedonia,"3,895",179,"1,705","2,011","1,870","20,83,378",0.0019
83,El Salvador,"3,603",72,"1,738","1,793",556,"64,84,606",0.0006
84,Gabon,"3,463",23,"1,024","2,416","1,558","22,22,650",0.0016
85,Kenya,"3,457",100,"1,221","2,136",64,"5,37,02,760",0.0001
86,Bulgaria,"3,191",172,"1,716","1,303",459,"69,50,669",0.0005
87,Ethiopia,"3,166",55,495,"2,616",28,"11,47,94,517",0.00002
88,Thailand,"3,134",58,"2,987",89,45,"6,97,91,648",0.00004
89,Greece,"3,112",183,"1,374","1,555",299,"1,04,25,286",0.0003
90,Bosnia and Herzegovina,"2,893",163,"2,119",611,882,"32,81,700",0.0009
91,Venezuela,"2,879",23,487,"2,369",101,"2,84,39,554",0.0001
92,Somalia,"2,579",87,559,"1,933",163,"1,58,66,124",0.0002
93,Mayotte,"2,282",28,"1,790",464,"8,377","2,72,427",0.0084
94,Croatia,"2,251",107,"2,134",10,548,"41,06,361",0.0005
95,Cuba,"2,238",84,"1,923",231,198,"1,13,26,934",0.0002
96,Kyrgyzstan,"2,207",27,"1,722",458,339,"65,18,289",0.0003
97,CAR,"2,057",7,363,"1,687",426,"48,25,119",0.0004
98,Maldives,"2,003",8,"1,193",802,"3,709","5,40,016",0.0037
99,Estonia,"1,973",69,"1,705",199,"1,487","13,26,493",0.0015
100,Sri Lanka,"1,884",11,"1,252",621,88,"2,14,08,902",0.0001
101,Iceland,"1,808",10,"1,794",4,"5,300","3,41,133",0.0053
102,Mali,"1,776",104,"1,058",614,88,"2,02,14,891",0.0001
103,Lithuania,"1,763",75,"1,416",272,647,"27,23,786",0.0006
104,South Sudan,"1,670",24,48,"1,598",149,"1,11,86,857",0.0001
105,Costa Rica,"1,612",12,731,869,317,"50,91,747",0.0003
106,Mauritania,"1,572",81,278,"1,213",339,"46,42,299",0.0003
107,Slovakia,"1,545",28,"1,410",107,283,"54,59,519",0.0003
108,New Zealand,"1,504",22,"1,482",0,301,"50,02,100",0.0003
109,Slovenia,"1,492",109,"1,359",24,718,"20,78,925",0.0007
110,Nicaragua,"1,464",55,953,456,221,"66,20,422",0.0002
111,Albania,"1,464",36,"1,039",389,509,"28,77,941",0.0005
112,Guinea-Bissau,"1,460",15,153,"1,292",743,"19,65,269",0.0007
113,Lebanon,"1,442",32,868,542,211,"68,26,791",0.0002
114,Zambia,"1,321",10,"1,104",207,72,"1,83,52,460",0.0001
115,Equatorial Guinea,"1,306",12,200,"1,094",933,"14,00,039",0.0009
116,Paraguay,"1,254",11,633,610,176,"71,27,927",0.0002
117,Madagascar,"1,252",10,362,880,45,"2,76,48,383",0.00005
118,French Guiana,"1,161",2,520,639,"3,893","2,98,217",0.0039
119,Sierra Leone,"1,132",51,670,411,142,"79,67,746",0.0001
120,Hong Kong,"1,110",4,"1,061",45,148,"74,93,913",0.0001
121,Latvia,"1,097",28,845,224,581,"18,87,049",0.0006
122,Tunisia,"1,094",49,995,50,93,"1,18,12,229",0.0001
123,Cyprus,980,18,807,155,812,"12,06,919",0.0008
124,Niger,978,65,881,32,40,"2,41,48,953",0.00004
125,Jordan,953,9,678,266,93,"1,01,97,928",0.0001
126,Burkina Faso,892,53,799,40,43,"2,08,68,398",0.00004
127,Andorra,853,51,781,21,"11,041","77,259",0.011
128,Georgia,851,13,702,136,213,"39,89,514",0.0002
129,Chad,848,72,711,65,52,"1,63,96,849",0.0001
130,Uruguay,847,23,780,44,244,"34,73,152",0.0002
131,Congo,728,24,221,483,132,"55,10,035",0.0001
132,Cabo Verde,726,6,294,426,"1,307","5,55,674",0.0013
133,Diamond Princess,712,13,651,48,,,N/A
134,San Marino,694,42,520,132,"20,455","33,928",0.0205
135,Uganda,694,,219,475,15,"4,56,49,727",0.00002
136,Sao Tome and Principe,650,12,168,470,"2,969","2,18,931",0.003
137,Malta,646,9,601,36,"1,463","4,41,487",0.0015
138,Yemen,632,139,28,465,21,"2,97,87,955",0.00002
139,Jamaica,614,10,417,187,207,"29,60,540",0.0002
140,Channel Islands,565,48,512,5,"3,251","1,73,781",0.0033
141,Mozambique,553,2,151,400,18,"3,12,01,863",0.00002
142,Togo,525,13,279,233,64,"82,67,347",0.0001
143,Rwanda,510,2,321,187,39,"1,29,33,152",0.00004
144,Tanzania,509,21,183,305,9,"5,96,29,682",0.0001
145,Palestine,489,3,414,72,96,"50,94,473",0.0001
146,Réunion,488,1,460,27,545,"8,94,993",0.0005
147,Malawi,481,4,65,412,25,"1,91,00,310",0.00003
148,Eswatini,472,3,246,223,407,"11,59,544",0.0004
149,Liberia,446,32,214,200,88,"50,50,706",0.0001
150,Taiwan,443,7,431,5,19,"2,38,14,740",0.00002
151,Benin,412,6,222,184,34,"1,21,04,097",0.00003
152,Libya,409,6,59,344,60,"68,66,309",0.0001
153,Zimbabwe,343,4,51,288,23,"1,48,51,276",0.00002
154,Mauritius,337,10,325,2,265,"12,71,669",0.0003
155,Isle of Man,336,24,312,0,"3,952","85,011",0.004
156,Vietnam,334,,323,11,3,"9,72,93,994",0.00003
157,Montenegro,324,9,315,0,516,"6,28,062",0.0005
158,Myanmar,261,6,167,88,5,"5,43,91,666",0.00005
